
                             CF:CF1 PI: ASSEMB  CF:CF2 PI: ASSEMB  CF:CF3 PI: ASSEMB  CF:Magnitude PI:   UT:Magnitude PI:   UT:U1 PI: ASSEMBL  UT:U2 PI: ASSEMBL  UT:U3 PI: ASSEMBL
                  X               LY N: 1            LY N: 1            LY N: 1         ASSEMBLY N: 1      ASSEMBLY N: 1          Y N: 1             Y N: 1             Y N: 1     

                1.13333            0.              -230.                 0.               230.               939.399E-06          0.              -939.399E-06          0.         
                1.15               0.              -230.                 0.               230.               918.299E-06          0.              -918.299E-06          0.         
                1.16667            0.              -230.                 0.               230.               960.648E-06          0.              -960.648E-06          0.         
                1.18333            0.              -230.                 0.               230.               951.603E-06          0.              -951.603E-06          0.         
                1.2                0.              -230.                 0.               230.               959.389E-06          0.              -959.389E-06          0.         
                1.21667            0.              -230.                 0.               230.               969.172E-06          0.              -969.172E-06          0.         
                1.23333            0.              -230.                 0.               230.               980.452E-06          0.              -980.452E-06          0.         
                1.25               0.              -230.                 0.               230.               986.859E-06          0.              -986.859E-06          0.         
                1.26667            0.              -230.                 0.               230.               996.15E-06           0.              -996.15E-06           0.         
                1.28333            0.              -230.                 0.               230.                 1.00129E-03        0.                -1.00129E-03        0.         
                1.3                0.              -230.                 0.               230.                 1.01374E-03        0.                -1.01374E-03        0.         
                1.31667            0.              -230.                 0.               230.                 1.02899E-03        0.                -1.02899E-03        0.         
                1.33333            0.              -230.                 0.               230.                 1.04409E-03        0.                -1.04409E-03        0.         
                1.35               0.              -230.                 0.               230.                 1.02539E-03        0.                -1.02539E-03        0.         
                1.36667            0.              -230.                 0.               230.                 1.03156E-03        0.                -1.03156E-03        0.         
                1.38333            0.              -230.                 0.               230.                 1.08072E-03        0.                -1.08072E-03        0.         
                1.4                0.              -230.                 0.               230.                 1.11221E-03        0.                -1.11221E-03        0.         
                1.41667            0.              -230.                 0.               230.                 1.10455E-03        0.                -1.10455E-03        0.         
                1.43333            0.              -230.                 0.               230.                 1.11282E-03        0.                -1.11282E-03        0.         
                1.45               0.              -230.                 0.               230.                 1.11127E-03        0.                -1.11127E-03        0.         
                1.46667            0.              -230.                 0.               230.                 1.11057E-03        0.                -1.11057E-03        0.         
                1.48333            0.              -230.                 0.               230.                 1.13323E-03        0.                -1.13323E-03        0.         
                1.5                0.              -230.                 0.               230.                 1.14405E-03        0.                -1.14405E-03        0.         
                1.51667            0.              -230.                 0.               230.                 1.19375E-03        0.                -1.19375E-03        0.         
                1.53333            0.              -230.                 0.               230.                 1.11543E-03        0.                -1.11543E-03        0.         
                1.55               0.              -230.                 0.               230.                 1.21258E-03        0.                -1.21258E-03        0.         
                1.56667            0.              -230.                 0.               230.                 1.23149E-03        0.                -1.23149E-03        0.         
                1.58333            0.              -230.                 0.               230.                 1.24261E-03        0.                -1.24261E-03        0.         
                1.6                0.              -230.                 0.               230.                 1.24919E-03        0.                -1.24919E-03        0.         
                1.61667            0.              -230.                 0.               230.                 1.29667E-03        0.                -1.29667E-03        0.         
                1.63333            0.              -230.                 0.               230.                 1.32681E-03        0.                -1.32681E-03        0.         
                1.65               0.              -230.                 0.               230.                 1.35346E-03        0.                -1.35346E-03        0.         
                1.66667            0.              -230.                 0.               230.                 1.39141E-03        0.                -1.39141E-03        0.         
                1.68333            0.              -230.                 0.               230.                 1.414E-03          0.                -1.414E-03          0.         
                1.7                0.              -230.                 0.               230.                 1.44622E-03        0.                -1.44622E-03        0.         
                1.71667            0.              -230.                 0.               230.                 1.47402E-03        0.                -1.47402E-03        0.         
                1.73333            0.              -230.                 0.               230.                 1.46142E-03        0.                -1.46142E-03        0.         
                1.75               0.              -230.                 0.               230.                 1.47147E-03        0.                -1.47147E-03        0.         
                1.76667            0.              -230.                 0.               230.                 1.46861E-03        0.                -1.46861E-03        0.         
                1.78333            0.              -230.                 0.               230.                 1.46288E-03        0.                -1.46288E-03        0.         
                1.8                0.              -230.                 0.               230.                 1.47527E-03        0.                -1.47527E-03        0.         
                1.81667            0.              -230.                 0.               230.                 1.46346E-03        0.                -1.46346E-03        0.         
                1.83333            0.              -230.                 0.               230.                 1.47679E-03        0.                -1.47679E-03        0.         
                1.85               0.              -230.                 0.               230.                 1.46028E-03        0.                -1.46028E-03        0.         
                1.86667            0.              -230.                 0.               230.                 1.47323E-03        0.                -1.47323E-03        0.         
                1.88333            0.              -230.                 0.               230.                 1.46189E-03        0.                -1.46189E-03        0.         
